DATE_ID,erbs,EUtranCellFDD,DCVECTOR_INDEX,pmTaInit2Distr,Site_id,NE_id,Band_id,Sectoral,Sector_gabung,Distance,dfsum,Cumulative_Occurance,TA_Index
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML3,3,776,BKT003,BKT003ML,L1800,3,3,(0.63 - 1.01) km,70456,99.9687748381969,TA3
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML3,4,22,BKT003,BKT003ML,L1800,3,3,(1.01 - 1.64) km,70456,100.0,TA4
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML3,5,0,BKT003,BKT003ML,L1800,3,3,(1.64 - 2.42) km,70456,100.0,TA5
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML3,6,0,BKT003,BKT003ML,L1800,3,3,(2.42 - 3.36) km,70456,100.0,TA6
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML3,7,0,BKT003,BKT003ML,L1800,3,3,(3.36 - 4.45) km,70456,100.0,TA7
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML3,8,0,BKT003,BKT003ML,L1800,3,3,(4.45 - 5.70) km,70456,100.0,TA8
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML3,9,0,BKT003,BKT003ML,L1800,3,3,(5.70 - 7.18) km,70456,100.0,TA9
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML3,10,0,BKT003,BKT003ML,L1800,3,3,(7.18 - 8.74) km,70456,100.0,TA10
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML3,11,0,BKT003,BKT003ML,L1800,3,3,(8.74 - 10.5) km,70456,100.0,TA11
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML3,12,0,BKT003,BKT003ML,L1800,3,3,(10.5 - 12.5) km,70456,100.0,TA12
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML3,13,0,BKT003,BKT003ML,L1800,3,3,(12.5 - 14.6) km,70456,100.0,TA13
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML3,14,0,BKT003,BKT003ML,L1800,3,3,(14.6 - 16.9) km,70456,100.0,TA14
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML3,15,0,BKT003,BKT003ML,L1800,3,3,(16.9 - 19.4) km,70456,100.0,TA15
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML3,16,0,BKT003,BKT003ML,L1800,3,3,(19.4 - 22.0) km,70456,100.0,TA16
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML3,17,0,BKT003,BKT003ML,L1800,3,3,(22.0 - 24.8) km,70456,100.0,TA17
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML3,18,0,BKT003,BKT003ML,L1800,3,3,(24.8 - 27.9) km,70456,100.0,TA18
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML3,19,0,BKT003,BKT003ML,L1800,3,3,(27.9 - 31.3) km,70456,100.0,TA19
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML5,0,160,BKT003,BKT003ML,L1800,5,2,(0 - 0.08) km,113827,0.14056418951566851,TA0
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML5,1,6388,BKT003,BKT003ML,L1800,5,2,(0.08 - 0.23) km,113827,5.752589455928734,TA1
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML5,2,65080,BKT003,BKT003ML,L1800,5,2,(0.23 - 0.63) km,113827,62.92707354142691,TA2
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML5,3,37973,BKT003,BKT003ML,L1800,5,2,(0.63 - 1.01) km,113827,96.2873483444174,TA3
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML5,4,4100,BKT003,BKT003ML,L1800,5,2,(1.01 - 1.64) km,113827,99.88930570075641,TA4
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML5,5,87,BKT003,BKT003ML,L1800,5,2,(1.64 - 2.42) km,113827,99.96573747880556,TA5
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML5,6,1,BKT003,BKT003ML,L1800,5,2,(2.42 - 3.36) km,113827,99.96661600499003,TA6
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML5,7,0,BKT003,BKT003ML,L1800,5,2,(3.36 - 4.45) km,113827,99.96661600499003,TA7
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML5,8,29,BKT003,BKT003ML,L1800,5,2,(4.45 - 5.70) km,113827,99.99209326433974,TA8
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML5,9,9,BKT003,BKT003ML,L1800,5,2,(5.70 - 7.18) km,113827,100.0,TA9
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML5,10,0,BKT003,BKT003ML,L1800,5,2,(7.18 - 8.74) km,113827,100.0,TA10
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML5,11,0,BKT003,BKT003ML,L1800,5,2,(8.74 - 10.5) km,113827,100.0,TA11
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML5,12,0,BKT003,BKT003ML,L1800,5,2,(10.5 - 12.5) km,113827,100.0,TA12
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML5,13,0,BKT003,BKT003ML,L1800,5,2,(12.5 - 14.6) km,113827,100.0,TA13
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML5,14,0,BKT003,BKT003ML,L1800,5,2,(14.6 - 16.9) km,113827,100.0,TA14
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML5,15,0,BKT003,BKT003ML,L1800,5,2,(16.9 - 19.4) km,113827,100.0,TA15
